Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
C.N.S.	Clemson	-	( Clemson ( PI_71659 , - ) , - )	-	Selection from Clemson by J. E. Wannamaker
C04065	Pioneer_P92B63	XB36L	( Pioneer_P92B63 , XB36L ( Pioneer_P9362 , 90683 ( Pioneer_P9362 , G40-3P9392 ) ) )	-	-
C05526R002	XB16H	Pioneer_P92B24	( XB16H ( Syngenta_S19-90 , MO30732-51 ) , Pioneer_P92B24 )	-	-
C101	Dunfield	Manchu	( Dunfield ( PI_36846 , - ) , Manchu ( PI_30593 , - ) )	-	-
C1065	C985	-	( C985 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) , - )	-	Selection from C985
C1066	C985	-	( C985 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) , - )	-	Selection from C985
C1067	C985	-	( C985 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) , - )	-	Selection from C985
C1069	C985	-	( C985 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) , - )	-	Selection from C985
C1070	Ogden	Kent	( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Kent )	-	-
C1071	C985	-	( C985 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) , - )	-	Selection from C985
C1074	C985	-	( C985 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) , - )	-	Selection from C985
C1076	C985	-	( C985 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) , - )	-	Selection from C985
