Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
D00782	RCAT_9404	90732-150	( RCAT_9404 , 90732-150 ( Pioneer_P9281 , 90675 ( Pioneer_P9281 , G40-3P9273 ) ) )	-	-
D01306	Pioneer_P9063	Pioneer_P92B05	( Pioneer_P9063 , Pioneer_P92B05 )	-	-
D02279	Dairyland_DSR195	YB18H	( Dairyland_DSR195 , YB18H ( Pioneer_P9172 , 90676 ( ST2250 , G40-3P9392 ) ) )	-	-
D08006	Pioneer_P91B53	D98116	( Pioneer_P91B53 , D98116 ( Syngenta_S19-T9 , XB29X00 ( Pioneer_P9305 , 21069 ( MO92117-18 , 90682E ( Pioneer_P9342 , G40-3P9341 ) ) ) ) )	-	-
D09233	RCAT_Wildcat	XB19M01	( RCAT_Wildcat ( Syngenta_S24-92 , OAC_Bayfield ( KG_60 , Bicentennial ) ) , XB19M01 ( Pioneer_P9132 , 21721 ( Asgrow_A1900 , 21119 ( Pioneer_P9304 , 21070 ( Pioneer_P9412 , 90688C ( Asgrow_A4715 , G40-3P9392 ) ) ) ) ) )	-	-
D10-10226	LD05-3230	LD00-3309	( LD05-3230 ( S25-J5 , LD00-3296 ( LN95-5724 ( Jack , IA3003 ) , Pana ) ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) )	-	-
D3003	Wayne	-	( Wayne , - )	-	Rps, Rpm selection of Wayne; PVP  8100082 
D414-714	Chief	Arksoy	( Chief , Arksoy ( PI_35335 , - ) )	-	-
D417-721	Arksoy	Patoka	( Arksoy ( PI_35335 , - ) , Patoka )	-	-
D418-177	Dunfield	Arksoy	( Dunfield ( PI_36846 , - ) , Arksoy ( PI_35335 , - ) )	-	Parentage conflict, may be Patoka x Arksoy
D421-737	L7-1355	Magnolia	( L7-1355 ( PI_81041 , - ) , Magnolia ( PI_85537 , - ) )	-	-
D49-247	Dunfield	Tennessee_Non_pop	( Dunfield ( PI_36846 , - ) , Tennessee_Non_pop ( Tokyo ( PI_8424 , - ) , PI_54610 ) )	-	-
D49-2477	S-100	C.N.S.	( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) )	-	-
D49-2491	S-100	C.N.S.	( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) )	-	C.N.S. = sister line of Lee
D49-2510	S-100	C.N.S.	( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) )	-	-
D49-2525	S-100	C.N.S.	( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) )	-	Sister line to Lee
D49-2573	Roanoke	N45-745	( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) )	-	-
D49-507	Roanoke	Rose_Non_pop	( Roanoke , Rose_Non_pop )	-	-
D49-533	Roanoke	N45-745	( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) )	-	-
D49-588	Roanoke	N45-745	( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) )	-	-
D49-757	Roanoke	N45-745	( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) )	-	-
