Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
E00003	AgriPro_AP1995	Pioneer_P9281	( AgriPro_AP1995 ( AgriPro_AP1989 ( AgriPro_AP26 ( Beeson , Calland ) , Vickery ) , Asgrow_A3427 ( Asgrow_X3836 , Asgrow_A3127 ( Williams , Essex ) ) ) , Pioneer_P9281 )	-	-
E05181-T	Loda	IA2053	( Loda , IA2053 )	-	-
E06167	OAC_98-12	E99035	( OAC_98-12 ( 92546-01td ( Tall , OAC88-09 ) , OAC_Bayfield ( KG_60 , Bicentennial ) ) , E99035 ( IA2021 , Apollo ( Northrup_King_S23-12 , Elgin_87 ) ) )	-	-
E06240	Loda	AxN-1-55	( Loda , AxN-1-55 ( Asgrow_A2506 , Syngenta_S19-90 ) )	-	-
E06380	K1459_	LG97-8984	( K1459_ , LG97-8984 ( LG89-6661 ( Sherman , LG84-1096 ( PI_90566-1 , L74-3897 ( Williams , Beeson ) ) ) , HS89-3261 ( LG82-8379 ( PI_68508 , FC_04007B ) , Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ) ) ) )	-	-
E06936	PI_494182	Skylla	( PI_494182 , Skylla ( Dairyland_DSR217 ( Dairyland_Experimental , Asgrow_A3127 ( Williams , Essex ) ) , Northrup_King_S19-90 ) )	-	-
E07051	IA3023	Loda	( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda )	-	-
E09090	Skylla	LD01-7323	( Skylla ( Dairyland_DSR217 ( Dairyland_Experimental , Asgrow_A3127 ( Williams , Essex ) ) , Northrup_King_S19-90 ) , LD01-7323 ( LN95-5454 ( Jack , IA3003 ) , Dwight ) )	-	-
E09107	Skylla	PI_507471	( Skylla ( Dairyland_DSR217 ( Dairyland_Experimental , Asgrow_A3127 ( Williams , Essex ) ) , Northrup_King_S19-90 ) , PI_507471 )	-	-
E10174	U01-390489	LD01-5907	( U01-390489 ( IA1008 , NE3001 ( Colfax , A91-701035 ( A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) , DeKalb_226 ) ) ) , LD01-5907 ( Ina ( Jack , Hartwig ) , IA3010 ) )	-	-
E10265LL	IA2065	IA2078	( IA2065 , IA2078 )	-	-
E11128T	E05276-T	LD01-7323	( E05276-T , LD01-7323 ( LN95-5454 ( Jack , IA3003 ) , Dwight ) )	-	-
E11431	Skylla	PI_567537	( Skylla ( Dairyland_DSR217 ( Dairyland_Experimental , Asgrow_A3127 ( Williams , Essex ) ) , Northrup_King_S19-90 ) , PI_567537 )	-	-
E12042	IA3023	E00003	( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , E00003 ( AgriPro_AP1995 ( AgriPro_AP1989 ( AgriPro_AP26 ( Beeson , Calland ) , Vickery ) , Asgrow_A3427 ( Asgrow_X3836 , Asgrow_A3127 ( Williams , Essex ) ) ) , Pioneer_P9281 ) )	-	-
E13100	LD01-7323	U01-390489	( LD01-7323 ( LN95-5454 ( Jack , IA3003 ) , Dwight ) , U01-390489 ( IA1008 , NE3001 ( Colfax , A91-701035 ( A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) , DeKalb_226 ) ) ) )	-	-
E13268	U03-300134	E07051	( U03-300134 ( NE32022 , NE2802 ) , E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) )	-	-
E13364	E07051	E10928	( E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) , E10928 )	-	-
E13370	E07051	E10928	( E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) , E10928 )	-	-
E13902	E11955	E07051	( E11955 , E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) )	-	-
E14077	U03-300134	E07051	( U03-300134 ( NE32022 , NE2802 ) , E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) )	-	-
E14141	LG04-4468	U02-242055	( LG04-4468 ( LG97-8856 ( LG90-13144 , LG88-3146 ( PI_427099 , PI_445830 ) ) , IA3010 ) , U02-242055 ( NE1900 ( MSBP1 , MSBP1 ) , Pioneer_P93B82 ) )	-	-
E14148	LG05-2359	U03-100612	( LG05-2359 ( LG97-7012 ( LG89-1525 ( PI_90566 , L74-3897 ( Williams , Beeson ) ) , Asgrow_A3322 ) , Loda ) , U03-100612 ( MSPB6S4 , Pioneer_P93B82 ) )	-	-
E14309	E07051	E11358	( E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) , E11358 )	-	-
E14314	E07051	E11358	( E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) , E11358 )	-	-
E15079T	E07158-T	LD01-7323	( E07158-T , LD01-7323 ( LN95-5454 ( Jack , IA3003 ) , Dwight ) )	-	-
E15165T	E07158-T	E07051	( E07158-T , E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) )	-	-
E15338	E09088	E12901	( E09088 , E12901 )	-	-
E15339	IA2102	LD02-4485	( IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) , LD02-4485 ( M90-184111 ( L85P-558 ( L73-4673 ( Corsoy , L66L-154 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Fayette ) , M86-1973 ( M75-89 ( Corsoy , M68-303 ( M60-406 ( Blackhawk , Harosoy ) , Beeson ) ) , L77-906 ) ) , IA3010 ) )	-	-
E15345	IA2102	LD02-4485	( IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) , LD02-4485 ( M90-184111 ( L85P-558 ( L73-4673 ( Corsoy , L66L-154 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Fayette ) , M86-1973 ( M75-89 ( Corsoy , M68-303 ( M60-406 ( Blackhawk , Harosoy ) , Beeson ) ) , L77-906 ) ) , IA3010 ) )	-	-
E15346T	IA2102	E07051	( IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) , E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) )	-	-
E15347	IA2102	E07051	( IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) , E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) )	-	-
E15349	IA2102	E07051	( IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) , E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) )	-	-
E15351	IA2102	E07051	( IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) , E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) )	-	-
E15390	E07048	E06186	( E07048 , E06186 )	-	-
E15901	E11955-4	E07051	( E11955-4 , E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) )	-	-
