Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
G00-3209	N7001	Boggs	( N7001 , Boggs )	-	-
G00-3213	N7001	Boggs	( N7001 , Boggs )	-	-
G00-3234	N7001	Boggs	( N7001 , Boggs )	-	-
G00-3322	N7001	Boggs	( N7001 , Boggs )	-	-
G00-3364	N7001	Boggs	( N7001 , Boggs )	-	-
G00-3880	G3-9201	Cook	( G3-9201 , Cook )	-	-
G00-4071	G3-9201	Cook	( G3-9201 , Cook )	-	-
G00167G017	Wicomico	Pioneer_P95B32	( Wicomico , Pioneer_P95B32 )	-	-
G00450T009	70286G002	Pioneer_P95B33	( 70286G002 ( 8397-11 ( Pioneer_P9593 ( 2177-57 , Pioneer_P9561 ( Mack , Forrest ) ) , Pioneer_P9582 ) , W8248-02 ( Pioneer_P9592 , H5164 ) ) , Pioneer_P95B33 )	-	-
G01-PR16	Dillon	Hyuuga	( Dillon , Hyuuga ( Akasaya ( Landrace , - ) , Ako_Musume ( Tamanishike ( Landrace , - ) , Iyo ( Landrace , - ) ) ) )	PI 659503	F6, GP-371
G01-PR33	Dillon	Hyuuga	( Dillon , Hyuuga ( Akasaya ( Landrace , - ) , Ako_Musume ( Tamanishike ( Landrace , - ) , Iyo ( Landrace , - ) ) ) )	-	doi: 10.3198/jpr2012.11.0052crg
G03-1187_RR	G95-346	Hartz_H7242_RR	( G95-346 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , G87-1968 ( Thomas , Gordon ) ) , Hartz_H7242_RR )	-	-
G03-1364_RR	G94-3117	Hartz_H7242_RR	( G94-3117 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , Hagood ) , Hartz_H7242_RR )	-	-
G03-1569_RR	G95-346	Hartz_H7242_RR	( G95-346 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , G87-1968 ( Thomas , Gordon ) ) , Hartz_H7242_RR )	-	-
G03-1668_RR	Hartz_H7242_RR	K1423	( Hartz_H7242_RR , K1423 ( Manokin , LS86-1922 ( Pyramid , LS78-5169 ) ) )	-	-
G03-2014_RR	G94-3117	Boggs_RR	( G94-3117 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , Hagood ) , Boggs_RR ( Boggs , MON_RR ) )	-	-
G03-2018_RR	G94-3117	Boggs_RR	( G94-3117 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , Hagood ) , Boggs_RR ( Boggs , MON_RR ) )	-	-
G03-2148_RR	G94-3117	Boggs_RR	( G94-3117 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , Hagood ) , Boggs_RR ( Boggs , MON_RR ) )	-	-
G03-2282_RR	G94-3117	Boggs_RR	( G94-3117 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , Hagood ) , Boggs_RR ( Boggs , MON_RR ) )	-	-
G03-2388_RR	G94-3117	Boggs_RR	( G94-3117 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , Hagood ) , Boggs_RR ( Boggs , MON_RR ) )	-	-
G03-2394_RR	G94-3117	Hartz_H7242_RR	( G94-3117 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , Hagood ) , Hartz_H7242_RR )	-	-
G03-2461_RR	G94-3117	Boggs_RR	( G94-3117 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , Hagood ) , Boggs_RR ( Boggs , MON_RR ) )	-	-
G03-3101	Benning	Danbaekkong	( Benning , Danbaekkong )	-	https://doi.org/10.1002/aocs.12261
G03-3385	Benning	PI_619083	( Benning , PI_619083 )	-	-
G03-364_RR	RR_G95-346	Hartz_H7242_RR	( RR_G95-346 , Hartz_H7242_RR )	-	-
G03-680_RR	G94-3117	Hartz_H7242_RR	( G94-3117 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , Hagood ) , Hartz_H7242_RR )	-	-
G03-695_RR	G94-3117	Hartz_H7242_RR	( G94-3117 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , Hagood ) , Hartz_H7242_RR )	-	-
G03-821	G94-3117_RR	Hartz_H7242_RR	( G94-3117_RR , Hartz_H7242_RR )	-	-
G03-825_RR	G94-3117	Hartz_H7242_RR	( G94-3117 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , Hagood ) , Hartz_H7242_RR )	-	-
G03-889_RR	G94-3117	Hartz_H7242_RR	( G94-3117 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , Hagood ) , Hartz_H7242_RR )	-	-
G03-899_RR	G94-3117	Hartz_H7242_RR	( G94-3117 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , Hagood ) , Hartz_H7242_RR )	-	-
G03-926_RR	G94-3117	Hartz_H7242_RR	( G94-3117 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , Hagood ) , Hartz_H7242_RR )	-	-
