Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
H00180	Pioneer_P9481	Pioneer_P94B81	( Pioneer_P9481 , Pioneer_P94B81 )	-	-
H02173	Pioneer_P93B82	Pioneer_P94B45	( Pioneer_P93B82 , Pioneer_P94B45 )	-	-
H02353	YB46K	T00593H117	( YB46K ( Pioneer_P9362 , Pioneer_P9444 ) , T00593H117 )	-	-
H04385	T00038H005	Pioneer_P94B54	( T00038H005 ( Asgrow_A3834 , Pioneer_P93B82 ) , Pioneer_P94B54 )	-	-
H04433	YB48M01	Pioneer_P94B54	( YB48M01 ( XB48B ( Y4667-09 ( Pioneer_P4280 ( Williams , Woodworth ) , Fayette ) , Asgrow_A4715 ) , Asgrow_A3431 ) , Pioneer_P94B54 )	-	-
H106-461	Mukden	Mandarin	( Mukden ( PI_50523 , - ) , Mandarin ( PI_36653 , - ) )	-	-
H113-461	Mukden	Mandarin	( Mukden ( PI_50523 , - ) , Mandarin ( PI_36653 , - ) )	-	-
H115-461	Mukden	Mandarin	( Mukden ( PI_50523 , - ) , Mandarin ( PI_36653 , - ) )	-	-
H131-463	Dunfield	Scioto	( Dunfield ( PI_36846 , - ) , Scioto ( Manchu ( PI_30593 , - ) , - ) )	-	-
H133-461	Mukden	Mandarin	( Mukden ( PI_50523 , - ) , Mandarin ( PI_36653 , - ) )	-	-
H14025	Lincoln	Quebec_92	( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Quebec_92 )	-	-
H14521	Lincoln	Ontario	( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Ontario )	-	-
H15345	Lincoln	PI_68666	( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , PI_68666 )	-	-
H15548	Lincoln	PI_68666	( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , PI_68666 )	-	-
H16-461	Dunfield	Illini	( Dunfield ( PI_36846 , - ) , Illini ( A.K. , - ) )	-	-
H167-463	Dunfield	Manchuria_13177	( Dunfield ( PI_36846 , - ) , Manchuria_13177 ( Manchuria ( PI_28050 , - ) , - ) )	-	-
H2	Dunfield	Illini	( Dunfield ( PI_36846 , - ) , Illini ( A.K. , - ) )	LX339-4	Circa 1943
H20771	Monroe	Lincoln	( Monroe , Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) )	-	-
H21162	Monroe	Lincoln	( Monroe , Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) )	-	-
H21793	Richland	H2	( Richland , H2 ( Dunfield ( PI_36846 , - ) , Illini ( A.K. , - ) ) )	-	-
H22-461	Dunfield	Illini	( Dunfield ( PI_36846 , - ) , Illini ( A.K. , - ) )	-	-
H24-463	Mukden	Mandarin	( Mukden ( PI_50523 , - ) , Mandarin ( PI_36653 , - ) )	-	-
H24088	Monroe	Lincoln	( Monroe , Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) )	-	-
H25-461	Scioto	Mandarin	( Scioto ( Manchu ( PI_30593 , - ) , - ) , Mandarin ( PI_36653 , - ) )	-	-
H257-463	Illini	T95	( Illini ( A.K. , - ) , T95 )	-	T95=Manchu line A
H2804	Richland	Scioto	( Richland , Scioto ( Manchu ( PI_30593 , - ) , - ) )	-	-
H29-461	Scioto	Mandarin	( Scioto ( Manchu ( PI_30593 , - ) , - ) , Mandarin ( PI_36653 , - ) )	-	-
H3	Scioto	Mandarin	( Scioto ( Manchu ( PI_30593 , - ) , - ) , Mandarin ( PI_36653 , - ) )	LX349-11	Circa 1943
H3665	Richland	Manchu_3	( Richland , Manchu_3 ( Manchu ( PI_30593 , - ) , - ) )	AX1519	-
H38-461	Scioto	Mandarin	( Scioto ( Manchu ( PI_30593 , - ) , - ) , Mandarin ( PI_36653 , - ) )	-	-
H4	Mukden	Mandarin	( Mukden ( PI_50523 , - ) , Mandarin ( PI_36653 , - ) )	LX378-12	Circa 1943
H50-461	Illini	Mandarin	( Illini ( A.K. , - ) , Mandarin ( PI_36653 , - ) )	-	-
H5S	H5	-	( H5 , - )	-	Elite selection from H5
H6	Dunfield	Scioto	( Dunfield ( PI_36846 , - ) , Scioto ( Manchu ( PI_30593 , - ) , - ) )	LX343-13	-
H75-5605	Woodworth	V68-1034	( Woodworth , V68-1034 ( York , PI_71506 ) )	-	-
H78-168	D70-3115	Forrest	( D70-3115 ( D64-4636 ( Hill , D58-3311 ) , Pickett_71 ) , Forrest )	-	-
