Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
K00-69	K99-14	A97-973002	( K99-14 ( IA3010 , STS_line_from_DuPont ) , A97-973002 ( LN90-4366 ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , IA3005 ) )	-	-
K00-75	K99-46	SS96-10704	( K99-46 , SS96-10704 ( Northrup_King_S39-11 , Asgrow_A4715 ) )	-	-
K00-85	SS96-10704	K99-128	( SS96-10704 ( Northrup_King_S39-11 , Asgrow_A4715 ) , K99-128 ( KS4997 ( Pioneer_P5482 ( Dare , Forrest ) , Asgrow_A3127 ( Williams , Essex ) ) , IA3004 ) )	-	-
K01-179	K1410	K97-135	( K1410 ( KS4694 ( Sherman , Toano ( Ware , Essex ) ) , C1842 ) , K97-135 ( K1277 ( Hutcheson , Asgrow_A3966 ( Williams , Essex ) ) ( Hutcheson , Asgrow_A3966 ( Williams , Essex ) ( Williams , Essex ) ) , K97-39 ( K1277 ( Hutcheson , Asgrow_A3966 ( Williams , Essex ) ) , MON_RR ) ) )	-	-
K01-187	K1425	K97-135	( K1425 ( Hartwig , KS4895 ) , K97-135 ( K1277 ( Hutcheson , Asgrow_A3966 ( Williams , Essex ) ) ( Hutcheson , Asgrow_A3966 ( Williams , Essex ) ( Williams , Essex ) ) , K97-39 ( K1277 ( Hutcheson , Asgrow_A3966 ( Williams , Essex ) ) , MON_RR ) ) )	-	-
K02W-3	KS5502N	K01-187	( KS5502N ( Hartwig , KS4895 ) , K01-187 ( K1425 ( Hartwig , KS4895 ) , K97-135 ( K1277 ( Hutcheson , Asgrow_A3966 ( Williams , Essex ) ) ( Hutcheson , Asgrow_A3966 ( Williams , Essex ) ( Williams , Essex ) ) , K97-39 ( K1277 ( Hutcheson , Asgrow_A3966 ( Williams , Essex ) ) , MON_RR ) ) ) )	-	-
K03-2399	K99-14	SS96-10704	( K99-14 ( IA3010 , STS_line_from_DuPont ) , SS96-10704 ( Northrup_King_S39-11 , Asgrow_A4715 ) )	-	-
K03-2897	K1454	HS93-4118	( K1454 ( KS4694 ( Sherman , Toano ( Ware , Essex ) ) , HS90-3487 ( HS84-6276 , Conrad ) ) , HS93-4118 ( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Dairyland_DSR304 ( Williams , - ) ) )	-	-
K03-3825	K1433	HS93-4118	( K1433 , HS93-4118 ( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Dairyland_DSR304 ( Williams , - ) ) )	-	-
K03W-106	KS5502N	K02W-3	( KS5502N ( Hartwig , KS4895 ) ( Hartwig , KS4895 ) , K02W-3 ( KS5502N ( Hartwig , KS4895 ) , K01-187 ( K1425 ( Hartwig , KS4895 ) , K97-135 ( K1277 ( Hutcheson , Asgrow_A3966 ( Williams , Essex ) ) ( Hutcheson , Asgrow_A3966 ( Williams , Essex ) ( Williams , Essex ) ) , K97-39 ( K1277 ( Hutcheson , Asgrow_A3966 ( Williams , Essex ) ) , MON_RR ) ) ) ) )	-	-
