Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
L.Z.	La40-400	-	( La40-400 , - )	-	Re-named
L03610	Pioneer_P92B12	Pioneer_P92B38	( Pioneer_P92B12 , Pioneer_P92B38 )	-	-
L04177	Pioneer_P92B12	Pioneer_P92B38	( Pioneer_P92B12 , Pioneer_P92B38 )	-	-
L04210	YB22T00	Pioneer_P93B09	( YB22T00 ( Pioneer_P9362 , MO21584 ) , Pioneer_P93B09 )	-	-
L04549	Pioneer_P91B42	Pioneer_P93B68	( Pioneer_P91B42 , Pioneer_P93B68 )	-	-
L12	L6	L11	( L6 ( L8 , L7 ) , L11 )	-	-
L12A	L12	-	( L12 ( L6 ( L8 , L7 ) , L11 ) , - )	-	Selection for yield from L12
L2	Harosoy_63	L3	( Harosoy_63 , L3 )	-	-
L2A	L2	-	( L2 ( Harosoy_63 , L3 ) , - )	-	Selection for yield from L2
L3-2010	C167	L7-1353	( C167 ( Midwest ( PI_6556 , - ) , Dunfield ( PI_36846 , - ) ) , L7-1353 )	-	-
L3-3392	Dunfield	Manchuria_13-177	( Dunfield ( PI_36846 , - ) , Manchuria_13-177 )	-	-
L3-3427	Scioto	Mukden	( Scioto ( Manchu ( PI_30593 , - ) , - ) , Mukden ( PI_50523 , - ) )	-	-
L36-12	Mandarin	Manchu	( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) )	-	-
L36-5	Mandarin	Manchu	( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) )	-	-
L36-553	Mandarin	Manchu	( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) )	-	-
L36-690	Mandarin	Manchu	( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) )	-	-
L36-700	Mandarin	Manchu	( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) )	-	-
L36-720	Mandarin	Manchu	( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) )	-	-
L37-1087	Illini	T48	( Illini ( A.K. , - ) , T48 ( Manchu ( PI_30593 , - ) , Ebony ) )	LX157	-
L37-1111	Illini	T48	( Illini ( A.K. , - ) , T48 ( Manchu ( PI_30593 , - ) , Ebony ) )	-	-
L37-1160	Illini	T48	( Illini ( A.K. , - ) , T48 ( Manchu ( PI_30593 , - ) , Ebony ) )	-	-
L37-1355	PI_81041	-	( PI_81041 , - )	-	Rogue selection from PI 81041
L43-1927	Mukden	Richland	( Mukden ( PI_50523 , - ) , Richland )	-	-
