Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
M00-110002	U96-2408	MN0302	( U96-2408 ( Colfax , Iroquois ) , MN0302 )	-	-
M00-111179	MN0902CN	MN0302	( MN0902CN , MN0302 )	-	-
M00-116161	MN0901	MN0902CN	( MN0901 , MN0902CN )	-	-
M00-30755	M92-270029	M93-313185	( M92-270029 ( M87-227 , M87-346 ( M76-55 ( M69-20 ( Merit , Clay ) , McCall ) , Simpson ) ) , M93-313185 ( Agassiz , M90-1437 ( Dawson , HM8536 ( HW79149 , Higan ( PI_80475 , - ) ) ) ) )	-	-
M00-326044	MN1005	MN0091	( MN1005 , MN0091 )	-	-
M00-351195	MN0902CN	M95-123116	( MN0902CN , M95-123116 ( Parker , M92-1631 ( Maple_Ridge , Lakota ) ) )	-	-
M00-365181	Jim	LN94-14862-97-2	( Jim , LN94-14862-97-2 ( Jack , Hartwig ) )	-	-
M00-516048	MN0302	MN1004SP	( MN0302 , MN1004SP ( Lambert , M95-305-31 ( CX1538-70-11-1 , M92-119 ( Sturdy , PI_361088_B ) ) ) )	-	-
M00-530039	MN1803RR	M96-136086	( MN1803RR , M96-136086 ( M90-162034 ( Burlison ( K74-113-76-486 , Century ) , M84-93 ( M71-148 ( Clay , Evans ) , Ozzie ) ) , IA2021 ) )	-	-
M01-139011	CX1834-1-6	MN0302	( CX1834-1-6 ( Athow , M153-1-4-6-14 ( CX1515-4 ( CRS3-998-24-1 , C1813 ( C1655 ( Hobbit , Century ) , Pella_86 ) ) , - ) ) , MN0302 )	-	-
M01-139014	CX1834-1-6	MN0302	( CX1834-1-6 ( Athow , M153-1-4-6-14 ( CX1515-4 ( CRS3-998-24-1 , C1813 ( C1655 ( Hobbit , Century ) , Pella_86 ) ) , - ) ) , MN0302 )	-	-
M01-139015	CX1834-1-6	MN0302	( CX1834-1-6 ( Athow , M153-1-4-6-14 ( CX1515-4 ( CRS3-998-24-1 , C1813 ( C1655 ( Hobbit , Century ) , Pella_86 ) ) , - ) ) , MN0302 )	-	-
M01-213045	OAC_98-01	Lambert	( OAC_98-01 ( OAC_Frontier , ND88-686 ( Evans , Bicentennial ) ) , Lambert )	-	-
M01-228058	PI_445837	PI_445837	( PI_445837 , PI_445837 )	-	-
M01-257028	PI_437994	PI_567222	( PI_437994 , PI_567222 )	-	-
M01-303	L78-379	MN0302	( L78-379 ( Williams , PI_96983 ) , MN0302 )	-	-
