Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
O-200	Manchu	-	( Manchu ( PI_30593 , - ) , - )	-	Selection from Manchu
O-4323	Capital	Hardome	( Capital , Hardome )	-	-
O-4456	Hardome	Adams	( Hardome , Adams )	-	-
O50-11	A.K.	Pagoda	( A.K. , Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) )	-	-
O52-793	A45-251	Flambeau	( A45-251 ( Mukden ( PI_50523 , - ) , Richland ) , Flambeau )	-	-
O52-903	PI_194654	-	( PI_194654 ( Pagoda_2 , 201-14-20 ) , - )	-	Sel. 753-1 S.A. Holmberg same as PI 194654
O56-2678	Blackhawk	Capital	( Blackhawk , Capital )	-	-
O57-2824	Adams	A43K-884	( Adams , A43K-884 ( Mukden ( PI_50523 , - ) , Richland ) )	-	-
O57-2826	Adams	A43K-884	( Adams , A43K-884 ( Mukden ( PI_50523 , - ) , Richland ) )	-	-
O57-2905	Blackhawk	Capital	( Blackhawk , Capital )	-	-
O57-2909	Blackhawk	Capital	( Blackhawk , Capital )	-	-
O57-2921-M	O57-2921	-	( O57-2921 , - )	-	Farmer selection from O57-2921
O57-2921-O	O57-2921	-	( O57-2921 , - )	-	Farmer selection from O57-2921
O60-3396	PI_180501	-	( PI_180501 , - )	-	Selection from PI 180501 in Germany ca. 1949
OAC-22-815	Fiskeby_V	Harosoy_63	( Fiskeby_V , Harosoy_63 )	-	-
OAC00-17	A92-525014	OAC_Vision	( A92-525014 ( IA2008 ( BSR_101 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Kenwood ) , OAC_Vision )	-	-
OAC07-26C	ND95-1564	OAC_Champion	( ND95-1564 ( Parker , Pioneer_P9061 ) , OAC_Champion ( M88-207 ( M81-99 ( M70-9 ( M64-3 ( Traverse , PI_196163 ) , Amsoy_71 ) , M68-201 ( Evans , Steele ) ) , Hardin ) , OAC_Bayfield ( KG_60 , Bicentennial ) ) )	-	-
OAC86-07	Maple_Arrow	Williams	( Maple_Arrow , Williams )	-	-
OAC92-08	OAC86-07	OT84-12	( OAC86-07 ( Maple_Arrow , Williams ) , OT84-12 )	-	-
OAC97-07	Y3916F38	M84-916	( Y3916F38 , M84-916 )	-	-
OAC_00-09	OAC_Atwood	OAC_Vision	( OAC_Atwood , OAC_Vision )	-	-
OAC_00-11	OAC_Erin	OAC_Wingham	( OAC_Erin , OAC_Wingham )	-	-
OAC_00-17	A92-525014	OAC_Vision	( A92-525014 ( IA2008 ( BSR_101 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Kenwood ) , OAC_Vision )	-	-
OAC_01-15	OAC_Bayfield	OAC_Millennium	( OAC_Bayfield ( KG_60 , Bicentennial ) , OAC_Millennium )	-	-
OAC_01-26	OAC_96-06	M91-821	( OAC_96-06 , M91-821 ( M83-766 ( Evans , M74-394 ( Hodgson , Wells ) ) , Leslie ( Hodgson_78 , Pella ) ) )	-	-
OAC_02-25	OAC_97-01	OAC_Stratford	( OAC_97-01 ( KG20 ( McCall , 2S11 ( 059-903 , Hardome ) ) , OAC_Exeter ( A83-172007 ( A77-211021 ( Beeson , A72-507 ( Amsoy , Wayne ) ) , Merschman_Washington_V ( IVR_1120 , Calland ) ) , M75-25 ) ) , OAC_Stratford )	NULL	NULL
OAC_02-31	OAC_Stratford	OAC97-07	( OAC_Stratford , OAC97-07 ( Y3916F38 , M84-916 ) )	-	-
OAC_03-07	OAC_97-01	OAC_Walton	( OAC_97-01 ( KG20 ( McCall , 2S11 ( 059-903 , Hardome ) ) , OAC_Exeter ( A83-172007 ( A77-211021 ( Beeson , A72-507 ( Amsoy , Wayne ) ) , Merschman_Washington_V ( IVR_1120 , Calland ) ) , M75-25 ) ) , OAC_Walton )	-	-
OAC_05-17_	RCAT_99-01	OAC_00-01	( RCAT_99-01 ( Northrup_King_S24-92 , RCAT_Bobcat ( T8508 , OAC86-07 ( Maple_Arrow , Williams ) ) ) , OAC_00-01 )	-	-
OAC_05-21	OT99-2	OAC00-17	( OT99-2 , OAC00-17 ( A92-525014 ( IA2008 ( BSR_101 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Kenwood ) , OAC_Vision ) )	-	-
OAC_07-26C	ND95-1564	OAC_Champion	( ND95-1564 ( Parker , Pioneer_P9061 ) , OAC_Champion ( M88-207 ( M81-99 ( M70-9 ( M64-3 ( Traverse , PI_196163 ) , Amsoy_71 ) , M68-201 ( Evans , Steele ) ) , Hardin ) , OAC_Bayfield ( KG_60 , Bicentennial ) ) )	-	-
OAC_10-20C	OAC_Lakeview	RCAT_Wildcat	( OAC_Lakeview , RCAT_Wildcat ( Syngenta_S24-92 , OAC_Bayfield ( KG_60 , Bicentennial ) ) )	-	-
OAC_10-24C	OAC_Lakeview	SD00-167	( OAC_Lakeview , SD00-167 ( M91-821 ( M83-766 ( Evans , M74-394 ( Hodgson , Wells ) ) , Leslie ( Hodgson_78 , Pella ) ) , A94-572028 ( Northrup_King_S19-90 , Bell ) ) )	-	-
OAC_11-13C	OAC_Prodigy	S03-W4	( OAC_Prodigy , S03-W4 )	-	-
OAC_11-34C	OAC_Prodigy	OAC_Champion	( OAC_Prodigy , OAC_Champion ( M88-207 ( M81-99 ( M70-9 ( M64-3 ( Traverse , PI_196163 ) , Amsoy_71 ) , M68-201 ( Evans , Steele ) ) , Hardin ) , OAC_Bayfield ( KG_60 , Bicentennial ) ) )	-	-
OAC_12-21C	Colby	OAC_05-30	( Colby , OAC_05-30 )	-	-
OAC_13-87C-SCN	SC_Starfield	OAC_Wallace	( SC_Starfield , OAC_Wallace )	-	-
OAC_14-05C	OAC_Lakeview	Venus	( OAC_Lakeview , Venus )	-	-
OAC_14-16C-SCN	OAC_Lakeview	S18-R6	( OAC_Lakeview , S18-R6 ( 89694 , 62755 ) )	-	-
OAC_14-37C-SCN	OAC_Lakeview	S18-R6	( OAC_Lakeview , S18-R6 ( 89694 , 62755 ) )	-	-
OAC_15-06C	OAC_Wallace	Colby	( OAC_Wallace , Colby )	-	-
OAC_15-11C	OAC_Wallace	DH_748	( OAC_Wallace , DH_748 )	-	-
OAC_15-13C	OAC_Wallace	DH_748	( OAC_Wallace , DH_748 )	-	-
OAC_15-15C	OAC_Wallace	OAC_Sunny	( OAC_Wallace , OAC_Sunny )	-	-
OAC_17-112C	DH618	OAC_11-51C	( DH618 , OAC_11-51C )	-	-
OAC_17-129C	OAC_Strive	DH530	( OAC_Strive ( Colby , S03-W4 ) , DH530 ( OAC_Clinton , PH9718 ) )	-	-
OAC_17-14C	OAC_07-26C	SeCan_11-12C	( OAC_07-26C ( ND95-1564 ( Parker , Pioneer_P9061 ) , OAC_Champion ( M88-207 ( M81-99 ( M70-9 ( M64-3 ( Traverse , PI_196163 ) , Amsoy_71 ) , M68-201 ( Evans , Steele ) ) , Hardin ) , OAC_Bayfield ( KG_60 , Bicentennial ) ) ) , SeCan_11-12C )	-	-
OAC_17-56C	Saska	DH530	( Saska , DH530 ( OAC_Clinton , PH9718 ) )	-	-
OAC_17-93C	SeCan_09-42C	Saska	( SeCan_09-42C , Saska )	-	-
OAC_18-110C	OAC_Wallace	S23-T5	( OAC_Wallace , S23-T5 )	-	-
OAC_18-111C-SCN	OAC_Wallace	Sheyenne	( OAC_Wallace , Sheyenne )	-	-
OAC_18-58C	MN1410	OAC_Nation	( MN1410 , OAC_Nation ( OAC_02-25 ( OAC_97-01 ( KG20 ( McCall , 2S11 ( 059-903 , Hardome ) ) , OAC_Exeter ( A83-172007 ( A77-211021 ( Beeson , A72-507 ( Amsoy , Wayne ) ) , Merschman_Washington_V ( IVR_1120 , Calland ) ) , M75-25 ) ) , OAC_Stratford ) , RCAT_Corbett ( J-251 , Westag_97 ( RCAT_8703 ( FH_22-815 ( Harosoy_63 , Fiskeby_V ) , Hodgson ) , S26-06 ) ) ) )	-	-
OAC_18-64C	OAC_Nation	Syngenta_S05-T6	( OAC_Nation ( OAC_02-25 ( OAC_97-01 ( KG20 ( McCall , 2S11 ( 059-903 , Hardome ) ) , OAC_Exeter ( A83-172007 ( A77-211021 ( Beeson , A72-507 ( Amsoy , Wayne ) ) , Merschman_Washington_V ( IVR_1120 , Calland ) ) , M75-25 ) ) , OAC_Stratford ) , RCAT_Corbett ( J-251 , Westag_97 ( RCAT_8703 ( FH_22-815 ( Harosoy_63 , Fiskeby_V ) , Hodgson ) , S26-06 ) ) ) , Syngenta_S05-T6 )	-	-
OAC_18-75C	OAC_11-34C	Syngenta_S05-T6	( OAC_11-34C ( OAC_Prodigy , OAC_Champion ( M88-207 ( M81-99 ( M70-9 ( M64-3 ( Traverse , PI_196163 ) , Amsoy_71 ) , M68-201 ( Evans , Steele ) ) , Hardin ) , OAC_Bayfield ( KG_60 , Bicentennial ) ) ) , Syngenta_S05-T6 )	-	-
OAC_211	Habaro	-	( Habaro ( PI_20405 , - ) , - )	-	Selection from Habaro
OAC_88-09	OAC_Thames	-	( OAC_Thames , - )	-	-
OAC_92-01	OAC_Eclipse	OT84-12	( OAC_Eclipse , OT84-12 )	-	-
OAC_94-11	RCAT_Angora	Haroson	( RCAT_Angora ( Pride_B152 , Thompson_T8112 ( Harwood , Williams ) ) , Haroson )	-	-
OAC_95-06	OT89-18	OAC_Shire	( OT89-18 ( Maple_Arrow , X881-57 ) , OAC_Shire )	-	-
OAC_97-01	KG20	OAC_Exeter	( KG20 ( McCall , 2S11 ( 059-903 , Hardome ) ) , OAC_Exeter ( A83-172007 ( A77-211021 ( Beeson , A72-507 ( Amsoy , Wayne ) ) , Merschman_Washington_V ( IVR_1120 , Calland ) ) , M75-25 ) )	-	-
OAC_97-02	OAC_Exeter	OAC_92-01	( OAC_Exeter ( A83-172007 ( A77-211021 ( Beeson , A72-507 ( Amsoy , Wayne ) ) , Merschman_Washington_V ( IVR_1120 , Calland ) ) , M75-25 ) , OAC_92-01 ( OAC_Eclipse , OT84-12 ) )	-	-
OAC_97-07	Y3916F38	M84-916	( Y3916F38 , M84-916 )	-	-
OAC_97-11	OAC_Auburn	M84-748	( OAC_Auburn ( Talon , OAC_Scorpio ( McCall , Bicentennial ) ) , M84-748 ( M75-274 ( Evans , L70T-543 ( L15 , Amsoy_71 ) ) , M76-151 ( M70-271 , Hodgson_78 ) ) )	-	-
OAC_98-01	OAC_Frontier	ND88-686	( OAC_Frontier , ND88-686 ( Evans , Bicentennial ) )	-	-
OAC_98-12	92546-01td	OAC_Bayfield	( 92546-01td ( Tall , OAC88-09 ) , OAC_Bayfield ( KG_60 , Bicentennial ) )	-	-
