Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
P00048	Asgrow_A3431	Pioneer_P94B01	( Asgrow_A3431 , Pioneer_P94B01 )	-	-
P00115	ST3630	Pioneer_P9314	( ST3630 , Pioneer_P9314 )	-	-
P02-60	M82-806	HHP	( M82-806 ( M71-52 ( Evans , M62-345 ( M319W ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Hawkeye ) , Harosoy ) ) , Wells_II ) , HHP ( Glycine_Soja , Glycine_Max ) )	-	-
P5096-03D	Asgrow_A3127	PI_273483	( Asgrow_A3127 ( Williams , Essex ) , PI_273483 )	-	-
P6906-16	Asgrow_A3127	PI_273483	( Asgrow_A3127 ( Williams , Essex ) , PI_273483 )	-	-
P6917-29	Unpsecified	-	( Unpsecified , - )	-	-
P71-39	Acme	Blackhawk	( Acme ( Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) , - ) , Blackhawk )	-	-
PABU2-2	Devine	-	( Devine , - )	-	Forage type from Devine
PE3031531	Pioneer_P93B86	XB7C02	( Pioneer_P93B86 , XB7C02 )	-	-
PE4006780	ZB31M02	Pioneer_P93B15	( ZB31M02 ( 3171 ( L77-994 , Pioneer_P1677 ) , Pioneer_P93B65 ) , Pioneer_P93B15 )	-	-
PE8015767	ZB27U04	XB27P04	( ZB27U04 ( Pioneer_P93B87 , Pioneer_P92B61 ) , XB27P04 ( YB23M ( Pioneer_P9362 , MO21584 ) , Pioneer_P92B74 ) )	-	-
PI_194633	193-7-27	Blackeye_Edible	( 193-7-27 , Blackeye_Edible )	733-4	Sweden ca. 1951
PI_194644	Pagoda_2	201-8-29	( Pagoda_2 , 201-8-29 )	748-7	From Sweden ca. 1951; A. Holmberg and Sons
PI_194654	Pagoda_2	201-14-20	( Pagoda_2 , 201-14-20 )	753-1	From Sweden ca. 1951; A. Holmberg and Sons
PI_257436	192	614	( 192 , 614 )	C 8/58 R, Soja-C 8/58 R	N. Rhine-Westphalia, Germany ca. 1959; Max Planck Inst.
PI_470930	840-2-7	751-8-1-15	( 840-2-7 , 751-8-1-15 ( Pagoda_2 , Fiskeby_III ) )	Traff, 1110-4-5-5	Developed in Sweden, Released 1978
PI_495831	Amsoy	Black_Eyebrow	( Amsoy , Black_Eyebrow )	-	France, 1985
PI_518751	Ns-Kasna	Beeson	( Ns-Kasna , Beeson )	NS-20	NAM Strain; Serbia and Montengro ca. 1988
PI_556482	Hark	Wayne	( Hark , Wayne )	Syngenta S1474	Novartis Seeds, Inc., PVP 7300085
PI_556837	Beeson_80	Pioneer_P2981	( Beeson_80 ( Beeson , Arksoy ( PI_35335 , - ) ) , Pioneer_P2981 )	Pioneer P9181	Pioneer Hi-Bred International, Inc., PVP 8700101, Parentage conflict Northern 2007 has Beeson x Williams
PI_556910	Pioneer_P2981	CM385	( Pioneer_P2981 , CM385 )	Pioneer P9303	Pioneer Hi-Bred International, Inc., PVP 8900174
PI_584461	Pioneer_P9061	Syngenta_S15-50	( Pioneer_P9061 , Syngenta_S15-50 )	P9092	Pioneer Hi-Bred International, Inc., PVP 9500030
PI_629015	Gordon	F85-1138	( Gordon , F85-1138 )	HINSON LONG JUVENILE	Florida Agricultural Experiment Station University of Florida, IFAS, PVP 200400032
PL723299L	Corsoy	Amsoy	( Corsoy , Amsoy )	PI 556539	Soybean Research Foundation, Inc., PVP 7800054
PL_6712424	Wayne	Harosoy	( Wayne , Harosoy )	PI 556521	Soybean Research Foundation, Inc., PVP 7700038
PL_6940104	Grant	Wayne	( Grant , Wayne )	PI 556523	Soybean Research Foundation, Inc., PVP 7700037
PL_707743	Amsoy	Wayne	( Amsoy , Wayne )	PI 556618	Soybean Research Foundation, Inc., PVP 8100113
PL_72-3176L	Corsoy	Amsoy	( Corsoy , Amsoy )	PI 556568	Soybean Research Foundation, Inc., PVP 7900111
PRO_30-15	Westag_97	RCAT_Calico	( Westag_97 ( RCAT_8703 ( FH_22-815 ( Harosoy_63 , Fiskeby_V ) , Hodgson ) , S26-06 ) , RCAT_Calico ( KG_60 , Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ) ) )	-	-
PRO_3170	Northrup_King_S24-92	Pioneer_P9305	( Northrup_King_S24-92 , Pioneer_P9305 )	-	-
PRX12-112	PI_86972-1	PI_84637	( PI_86972-1 , PI_84637 )	-	-
PRX54-33-2	Harosoy	Altona	( Harosoy , Altona ( Flambeau , 052-903 ) )	-	-
PRX54-59	Harosoy	Altona	( Harosoy , Altona ( Flambeau , 052-903 ) )	-	-
PRX9-249	PI_86972-1	PI_54615-1	( PI_86972-1 , PI_54615-1 )	-	-
PRX9-274	PI_86972-1	PI_54615-1	( PI_86972-1 , PI_54615-1 )	-	-
PS_42	Premier	BK22-1-3	( Premier , BK22-1-3 )	KSX3948, K3948	Pride Seed Canada
Pagoda	Manitoba_Brown	Mandarin	( Manitoba_Brown , Mandarin ( PI_36653 , - ) )	PI 548398	-
Palmetto	PI_71587	-	( PI_71587 , - )	PI 548480	Selection from PI 71587, Jiangsu, China
Pearl	G80-1515	Vance	( G80-1515 ( Pickett_71 , Bedford ) , Vance )	PI 583367	PVP 9400200
Pelican	PI_95727	-	( PI_95727 , - )	-	Shariin 1932
Pennsoy	Manchuria_13-177	-	( Manchuria_13-177 , - )	PI 548403	Rogue selection from Manchuria 13177
Peterson_Jade	Verde	Kanrich	( Verde , Kanrich )	PI 548694	Pioneer Hi-Bred International, Inc., PVP 7200076
Peterson_Px20	P61-22	Wells	( P61-22 , Wells )	-	-
