Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
R00-1029	Asgrow_A5843	Hartz_H5545	( Asgrow_A5843 , Hartz_H5545 )	-	-
R00-1076	Asgrow_A5843	Hartz_H5545	( Asgrow_A5843 , Hartz_H5545 )	-	-
R00-1158F	Asgrow_A4715	DPL_3478	( Asgrow_A4715 , DPL_3478 )	-	-
R00-1178F	Asgrow_A4715	DPL_3478	( Asgrow_A4715 , DPL_3478 )	-	-
R00-1194F	Asgrow_A4715	DPL_3478	( Asgrow_A4715 , DPL_3478 )	-	-
R00-155	Northrup_King_RA-452	R89-332	( Northrup_King_RA-452 , R89-332 ( Pershing , Narow ) )	-	-
R00-1551	Hartz_H4994	Asgrow_A5403	( Hartz_H4994 , Asgrow_A5403 )	-	-
R00-1940	Hartz_H4994	Northrup_King_S59-60	( Hartz_H4994 , Northrup_King_S59-60 )	-	-
R00-684	MD92-5769	N90-541	( MD92-5769 , N90-541 ( Hutcheson , N83-1014 ( GaSoy_17 ( Bragg , Hood ) , N77-940 ( N70-1540 ( Dare , D65-6765 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Centennial ) ) ) )	-	-
R00-859	N92-195	Delsoy_5500	( N92-195 , Delsoy_5500 )	-	-
R00302	XB22D	13007	( XB22D ( Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ( Williams , Essex ) ) , 30388 ( Pioneer_P9303 , 30310 ( Pioneer_P9303 , 30294 ( Pioneer_P9303 , 30199 ( Pioneer_P9303 , 30124 ( Pioneer_P9303 , 30094 ( 5961 ( Asgrow_A3733 ( Elf , Asgrow_A3127 ( Williams , Essex ) ) ( Elf , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) , Resnik ) , Asgrow_A3733 ( Elf , Asgrow_A3127 ( Williams , Essex ) ) ( Elf , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) ) ) ) ) ) ) ) , 13007 ( Asgrow_A3304 , 90733 ( Pioneer_P9172 , 90676 ( ST2250 , G40-3P9392 ) ) ) )	-	-
R01-1017	HBK_4890	R96-1083	( HBK_4890 , R96-1083 ( Hamilton , Coker_6955 ) )	-	-
R01-1018	HBK_4890	R96-1083	( HBK_4890 , R96-1083 ( Hamilton , Coker_6955 ) )	-	-
R01-1092	HBK_4890	R96-1083	( HBK_4890 , R96-1083 ( Hamilton , Coker_6955 ) )	-	-
R01-2195	HBK_5990	R96-2361	( HBK_5990 , R96-2361 ( PI_507098 , N86-491 ( N77-1602 ( Hutton , N70-2205 ( Hampton ( Majos ( Tokyo ( PI_8424 , - ) , Yelredo ( Mammoth_Yellow , Laredo ) ) , Lee ) , Ransom ) ) , F77-1797 ) ) )	-	-
R01-2245	V91-3036	HBK_5990	( V91-3036 ( Hutcheson , V84-1790 ( Epps , L77-994 ) ) , HBK_5990 )	-	-
R01-2346	V91-3036	HBK_5990	( V91-3036 ( Hutcheson , V84-1790 ( Epps , L77-994 ) ) , HBK_5990 )	-	-
R01-2373	V91-3036	HBK_5990	( V91-3036 ( Hutcheson , V84-1790 ( Epps , L77-994 ) ) , HBK_5990 )	-	-
R01-327	R96-2660	HBK_5990	( R96-2660 ( Asgrow_A6297 ( Young , Asgrow_A5474 ) , IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) ) , HBK_5990 )	-	-
R01-330	R96-2660	HBK_5990	( R96-2660 ( Asgrow_A6297 ( Young , Asgrow_A5474 ) , IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) ) , HBK_5990 )	-	-
R01-3474F	Caviness	PI_594208	( Caviness , PI_594208 )	-	-
