Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
S-100	Illini	-	( Illini ( A.K. , - ) , - )	PI 548488	Selected from Illini 1938 by Lee Mumford, reselected 1942 by Missouri AES
S-48	IVR_1120	SL12	( IVR_1120 , SL12 )	PI 556563	Callahan Enterprises, Inc., PVP 7800098
S0-007RR	DeKalb_4762RR	P6	( DeKalb_4762RR , P6 )	-	-
S00-9912-56	S94-2086	MD94-5334	( S94-2086 ( Delsoy ( PI_85355 , - ) , Hartwig ) , MD94-5334 )	-	-
S00-9925-10	K1393	Anand	( K1393 ( KS5292 , Hutcheson ) , Anand )	-	-
S00-9970-09	S94-1867	Anand	( S94-1867 ( Pioneer_P9592 , S91-1693 ) , Anand )	-	-
S00-9985-03	HY_574	Anand	( HY_574 , Anand )	-	-
S01-8401	Manokin	S92-2711A	( Manokin , S92-2711A )	-	-
S01555	Pioneer_P93B65	90731S043	( Pioneer_P93B65 , 90731S043 ( Pioneer_P9204 , 90675 ( Pioneer_P9281 , G40-3P9273 ) ) )	-	-
S02-3934	DPL_5960RR	Anand	( DPL_5960RR , Anand )	-	-
S02-3934RR	DPL_5960RR	Anand	( DPL_5960RR , Anand )	-	-
S02-583CR	LS94-3207	DeKalb_4762	( LS94-3207 ( Pharaoh ( Forrest , V71-480 ( V63-76 ( Hill , D53-354 ( D49-2525 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ( S-100 ( Illini ( A.K. , - ) , - ) ( Illini ( A.K. , - ) ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ( Clemson ( PI_71659 , - ) ( PI_71659 , - ) , - ) ) , L46-5679 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Richland ) ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) ( Mandarin ( PI_36653 , - ) ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ( PI_30593 , - ) ) , Richland ) ) ) , V66-318 ( D53-184 ( D49-2525 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) , L46-5679 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Richland ) ) , J22 ( L37-1355 ( PI_81041 , - ) , Arksoy_2913 ( Arksoy ( PI_35335 , - ) , - ) ) ) ) ) , Hartwig ) , DeKalb_4762 )	-	-
S02-586CR	DeKalb_4762	Anand	( DeKalb_4762 , Anand )	-	-
S02-611CR	DP_5960RR	Anand	( DP_5960RR , Anand )	-	-
S02-683RR	Delta_King_4762	SG498RR	( Delta_King_4762 , SG498RR )	-	-
S02339	Pioneer_P93B65	S01555	( Pioneer_P93B65 , S01555 ( Pioneer_P93B65 , 90731S043 ( Pioneer_P9204 , 90675 ( Pioneer_P9281 , G40-3P9273 ) ) ) )	-	-
S03-058RR	Delta_King_4762RR	P6	( Delta_King_4762RR , P6 )	-	-
S03-166RR	SG498RR	SS94-7482	( SG498RR , SS94-7482 ( Pioneer_P9341 , S86-4499 ( L77-443 ( Union , L75-8020 ( Corsoy , - ) ) , L77-906 ) ) )	-	-
S03-1904	SG498RR	Anand-1-CYST02	( SG498RR , Anand-1-CYST02 )	-	-
S03-328RR	DPL_5960RR	P1	( DPL_5960RR , P1 )	-	-
S03-383RR	DPL_5960RR	P1	( DPL_5960RR , P1 )	-	-
S03-390RR	DPL_5960RR	P1	( DPL_5960RR , P1 )	-	-
S04-10364	-	AgriPro_AP4882	( - , AgriPro_AP4882 )	-	Female parent was an unspecified PI line
S04-21273_RR	S99-2281	DPL_5960RR	( S99-2281 ( N90-516 ( Hutcheson , N83-1014 ( GaSoy_17 ( Bragg , Hood ) , N77-940 ( N70-1540 ( Dare , D65-6765 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Centennial ) ) ) , S92-1069 ( Manokin , Hartwig ) ) , DPL_5960RR )	-	-
S04-23936RR	P6	S98-3940-04RR	( P6 , S98-3940-04RR )	-	-
S04-24039RR	P6	S98-3940-04RR	( P6 , S98-3940-04RR )	-	-
S04-5969	S99-2281	F1-00-111	( S99-2281 ( N90-516 ( Hutcheson , N83-1014 ( GaSoy_17 ( Bragg , Hood ) , N77-940 ( N70-1540 ( Dare , D65-6765 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Centennial ) ) ) , S92-1069 ( Manokin , Hartwig ) ) , F1-00-111 )	-	-
S04-6008	K1525	F1-00-111	( K1525 ( S92-2713 , KY88-4080 ( K1099 ( K1022 ( Williams , Columbus ) , Essex ) , Hutcheson ) ) , F1-00-111 )	-	-
S04-6013	K1525	F1-00-111	( K1525 ( S92-2713 , KY88-4080 ( K1099 ( K1022 ( Williams , Columbus ) , Essex ) , Hutcheson ) ) , F1-00-111 )	-	-
S04-8882	S99-2281	LG97-7012	( S99-2281 ( N90-516 ( Hutcheson , N83-1014 ( GaSoy_17 ( Bragg , Hood ) , N77-940 ( N70-1540 ( Dare , D65-6765 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Centennial ) ) ) , S92-1069 ( Manokin , Hartwig ) ) , LG97-7012 ( LG89-1525 ( PI_90566 , L74-3897 ( Williams , Beeson ) ) , Asgrow_A3322 ) )	-	-
S05-11268	S00-9925-10	U98-311442	( S00-9925-10 ( K1393 ( KS5292 , Hutcheson ) , Anand ) , U98-311442 ( A94-773014 ( Pioneer_P9303 , A87-395012 ( Fayette , Asgrow_A3659 ( Williams , Essex ) ) ) , Bell ) )	-	-
S05-11400	S00-9925-10	S98-3403	( S00-9925-10 ( K1393 ( KS5292 , Hutcheson ) , Anand ) , S98-3403 )	-	-
