Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
T00038H005	Asgrow_A3834	Pioneer_P93B82	( Asgrow_A3834 , Pioneer_P93B82 )	-	-
T00539H117	Syngenta_S42-60	Pioneer_P9492	( Syngenta_S42-60 , Pioneer_P9492 )	-	-
T117	AK114	PI_65394	( AK114 ( Illini ( A.K. , - ) , - ) , PI_65394 )	PI 548169	from AK
T135	Illini	-	( Illini ( A.K. , - ) , - )	PI 548172	y9 mutant of Illini
T180	Lincoln	Richland	( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Richland )	-	F3 sib of T181, F3 sib of T181
T201	T181	T180	( T181 , T180 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Richland ) )	-	-
T204	T136	T122	( T136 , T122 )	PI 548195, L48-101	-
T208	PI_196176	-	( PI_196176 , - )	PI 548197, 2300-2	Selection from PI 196176
T43	Medium_Green	Glaborous	( Medium_Green , Glaborous )	PI 548161	-
T48	Manchu	Ebony	( Manchu ( PI_30593 , - ) , Ebony )	-	-
T70-4	Bragg	PI_200492	( Bragg , PI_200492 )	-	-
TCHM06-M-204	Holladay	-	( Holladay , - )	-	Late maturing mutant in Holladay
TCHM06-Morph-204	Holladay	-	( Holladay , - )	-	Selection from Holladay
TCPR96-1213	Young	Tanbaguro	( Young , Tanbaguro )	-	-
TCPR96-1215	Young	Tanbaguro	( Young , Tanbaguro )	-	-
TCWN05/06-5045	Cook	SC97-1821	( Cook , SC97-1821 )	-	-
TCWN05/06-5050	Cook	SC97-1821	( Cook , SC97-1821 )	-	-
TCWN05/06-5165	Cook	SC97-1821	( Cook , SC97-1821 )	-	-
TCWN05X06-5045	Cook	SC97-1821	( Cook , SC97-1821 )	-	RESISTANT TO MN DEF
TCWN05X06-5050	Cook	SC97-1821	( Cook , SC97-1821 )	-	RESISTANT TO MN DEF
TCWN05X06-5165	Cook	SC97-1821	( Cook , SC97-1821 )	-	PART RESISTANT TO MN DEF
TETABIATE	Hill	Lee	( Hill , Lee )	NULL	NULL
TN-5601T	5601T	-	( 5601T ( Hutcheson , TN89-39 ( TN81-2 ( Lee_74 , Mitchell ( Amsoy , Wayne ) ) , TN80-69 ( Essex , J74-40 ) ) ) , - )	-	Selection from 5601T
TN-EXW2-051	Essex	Williams_82	( Essex , Williams_82 )	-	-
TN-EXW2-111	Essex	Williams_82	( Essex , Williams_82 )	-	-
TN-EXW2-141	Essex	Williams_82	( Essex , Williams_82 )	-	-
TN00-60	MD92-5769	Fillmore	( MD92-5769 , Fillmore )	-	-
TN01-032	Caviness	Anand	( Caviness , Anand )	-	-
TN01-056	TN93-88	MD_4900	( TN93-88 ( TN85-55 ( TN77-46 ( Forrest , Mitchell ( Amsoy , Wayne ) ) , Fayette ) , TN82-268 ) , MD_4900 )	-	-
