Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
U00-130753	NE3001	Asgrow_A2833	( NE3001 ( Colfax , A91-701035 ( A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) , DeKalb_226 ) ) , Asgrow_A2833 )	-	-
U00-405036-031	NE3001	Hol-672	( NE3001 ( Colfax , A91-701035 ( A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) , DeKalb_226 ) ) , Hol-672 )	-	-
U00-424033	NE3001	UP1C6-47	( NE3001 ( Colfax , A91-701035 ( A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) , DeKalb_226 ) ) , UP1C6-47 )	-	-
U00-429029	NE3001	U96-3640	( NE3001 ( Colfax , A91-701035 ( A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) , DeKalb_226 ) ) , U96-3640 ( IA3001 , U91-2519 ( A86-204022 ( Hack , Zane ) , HC84-553-1 ( Hobbit , K74-104-76-205 ( Tracy , Williams ) ) ) ) )	-	-
U00-429037	U6-1612	U96-3601	( U6-1612 , U96-3601 ( Saturn , A91-701035 ( A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) , DeKalb_226 ) ) )	-	-
U01-190311	NE1900	A97-871009	( NE1900 ( MSBP1 , MSBP1 ) , A97-871009 )	-	-
U01-290680	NE3001	HOL-833	( NE3001 ( Colfax , A91-701035 ( A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) , DeKalb_226 ) ) , HOL-833 )	-	-
U01-290931	M91-163126	NE1900	( M91-163126 ( E86-237 , M87-135 ( Sibley , Hack ) ) , NE1900 ( MSBP1 , MSBP1 ) )	-	-
U01-310156	UP3YC1S3	-	( UP3YC1S3 , - )	-	Selection from UP3YC1S3 population
U01-390489	IA1008	NE3001	( IA1008 , NE3001 ( Colfax , A91-701035 ( A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) , DeKalb_226 ) ) )	-	-
U01-390787	NE3001	Pioneer_P93B82	( NE3001 ( Colfax , A91-701035 ( A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) , DeKalb_226 ) ) , Pioneer_P93B82 )	-	-
U02-100215	Harbin_92	NE1900	( Harbin_92 , NE1900 ( MSBP1 , MSBP1 ) )	-	-
U02-140131	NE1900	A97-770031	( NE1900 ( MSBP1 , MSBP1 ) , A97-770031 ( A92-535059 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) )	-	-
U02-240807	NE1900	A97-770031	( NE1900 ( MSBP1 , MSBP1 ) , A97-770031 ( A92-535059 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) )	-	-
U02-242055	NE1900	Pioneer_P93B82	( NE1900 ( MSBP1 , MSBP1 ) , Pioneer_P93B82 )	-	-
U02-341563	NE3400	Pioneer_P93B82	( NE3400 ( MSBP1 , - ) , Pioneer_P93B82 )	-	-
U03-100612	MSPB6S4	Pioneer_P93B82	( MSPB6S4 , Pioneer_P93B82 )	-	NAM Strain
U03-130145R	AAK_2501_MOR	U99-507030R	( AAK_2501_MOR , U99-507030R ( NE3001 ( Colfax , A91-701035 ( A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) , DeKalb_226 ) ) , AGH33701 ) )	-	-
U03-200238	NE3202	Pioneer_P92B12	( NE3202 ( MSBP3F6 , MSBP3F6 ) , Pioneer_P92B12 )	-	-
U03-200317	U99-009019	Pioneer_P92B12	( U99-009019 , Pioneer_P92B12 )	-	-
U03-300134	NE32022	NE2802	( NE32022 , NE2802 )	-	-
U03-331729	U99-009019	CBN_1900_HO	( U99-009019 , CBN_1900_HO )	-	-
U03-400435	Pioneer_P92B12	U97-207904	( Pioneer_P92B12 , U97-207904 )	-	-
U04-604039	UP1C8-90-123-10	-	( UP1C8-90-123-10 , - )	-	-
U04-614043	UP1C8-90-223-18	-	( UP1C8-90-223-18 , - )	-	-
U04-615036	UP1C8-90-233-20	-	( UP1C8-90-233-20 , - )	-	-
U04-625036	UP1C8-130-125-19	-	( UP1C8-130-125-19 , - )	-	-
U04-632043	UP1C8-90-223-18	-	( UP1C8-90-223-18 , - )	-	-
U06-300952	U98-307917	U01-310156	( U98-307917 ( U94-2306 ( Holt ( Sherman , Harper ) , Dairyland_DSR304 ( Williams , - ) ) , A92-525014 ( IA2008 ( BSR_101 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Kenwood ) ) , U01-310156 ( UP3YC1S3 , - ) )	-	-
U07-135377R	NEX2803Y3R	U03-823141R	( NEX2803Y3R , U03-823141R )	-	-
U07-236940R	NEX2403K2R	U03-130145R	( NEX2403K2R , U03-130145R ( AAK_2501_MOR , U99-507030R ( NE3001 ( Colfax , A91-701035 ( A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) , DeKalb_226 ) ) , AGH33701 ) ) )	-	-
U09-105007	OAC_05-21	U03-300134	( OAC_05-21 ( OT99-2 , OAC00-17 ( A92-525014 ( IA2008 ( BSR_101 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Kenwood ) , OAC_Vision ) ) , U03-300134 ( NE32022 , NE2802 ) )	-	-
U09-118017	U01-190311	U02-242055	( U01-190311 ( NE1900 ( MSBP1 , MSBP1 ) ( MSBP1 , MSBP1 ) , A97-871009 ) , U02-242055 ( NE1900 ( MSBP1 , MSBP1 ) , Pioneer_P93B82 ) )	-	-
U09-129007	U01-390489	U03-200317	( U01-390489 ( IA1008 , NE3001 ( Colfax , A91-701035 ( A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) , DeKalb_226 ) ) ) , U03-200317 ( U99-009019 , Pioneer_P92B12 ) )	-	-
U09-133005	U02-242055	U03-200317	( U02-242055 ( NE1900 ( MSBP1 , MSBP1 ) , Pioneer_P93B82 ) , U03-200317 ( U99-009019 , Pioneer_P92B12 ) )	-	-
U09-133021	U02-242055	U03-200317	( U02-242055 ( NE1900 ( MSBP1 , MSBP1 ) , Pioneer_P93B82 ) , U03-200317 ( U99-009019 , Pioneer_P92B12 ) )	-	-
U09-202083	OAC_05-21	U03-400435	( OAC_05-21 ( OT99-2 , OAC00-17 ( A92-525014 ( IA2008 ( BSR_101 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Kenwood ) , OAC_Vision ) ) , U03-400435 ( Pioneer_P92B12 , U97-207904 ) )	-	-
U09-210042	U01-190311	U03-200317	( U01-190311 ( NE1900 ( MSBP1 , MSBP1 ) , A97-871009 ) , U03-200317 ( U99-009019 , Pioneer_P92B12 ) )	-	-
U09-210051	U01-190311	U03-200317	( U01-190311 ( NE1900 ( MSBP1 , MSBP1 ) , A97-871009 ) , U03-200317 ( U99-009019 , Pioneer_P92B12 ) )	-	-
U09-211049	U01-190311	U03-300134	( U01-190311 ( NE1900 ( MSBP1 , MSBP1 ) , A97-871009 ) , U03-300134 ( NE32022 , NE2802 ) )	-	-
U09-211070	U01-190311	U03-300134	( U01-190311 ( NE1900 ( MSBP1 , MSBP1 ) , A97-871009 ) , U03-300134 ( NE32022 , NE2802 ) )	-	-
U09-215057	U01-390489	U03-200317	( U01-390489 ( IA1008 , NE3001 ( Colfax , A91-701035 ( A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) , DeKalb_226 ) ) ) , U03-200317 ( U99-009019 , Pioneer_P92B12 ) )	-	-
U09-224078	U03-200317	U03-300134	( U03-200317 ( U99-009019 , Pioneer_P92B12 ) , U03-300134 ( NE32022 , NE2802 ) )	-	-
U09-233044	UP2YC4S3	-	( UP2YC4S3 , - )	-	Selection from population?
U09-310098	U02-242055	U03-200317	( U02-242055 ( NE1900 ( MSBP1 , MSBP1 ) , Pioneer_P93B82 ) , U03-200317 ( U99-009019 , Pioneer_P92B12 ) )	-	-
U09-311114	U02-242055	U03-200317	( U02-242055 ( NE1900 ( MSBP1 , MSBP1 ) , Pioneer_P93B82 ) , U03-200317 ( U99-009019 , Pioneer_P92B12 ) )	-	-
U09-312115	U02-242055	U03-300134	( U02-242055 ( NE1900 ( MSBP1 , MSBP1 ) , Pioneer_P93B82 ) , U03-300134 ( NE32022 , NE2802 ) )	-	-
U09-316113	LD01-5907	U03-300134	( LD01-5907 ( Ina ( Jack , Hartwig ) , IA3010 ) , U03-300134 ( NE32022 , NE2802 ) )	-	-
U09-317120	U03-300134	U03-400435	( U03-300134 ( NE32022 , NE2802 ) , U03-400435 ( Pioneer_P92B12 , U97-207904 ) )	-	-
U09-323109	UP2YC4S3	-	( UP2YC4S3 , - )	-	-
U10727	Wayne	C1317-71	( Wayne , C1317-71 )	-	-
U10917	C1253	Wayne	( C1253 ( Blackhawk , Harosoy ) , Wayne )	-	-
U11-374036	U03-100612	LD02-7222P	( U03-100612 ( MSPB6S4 , Pioneer_P93B82 ) , LD02-7222P ( Macon , LS93-0375 ( Asgrow_A3935 ( M0474C ( Mitchell ( Amsoy , Wayne ) , - ) , Asgrow_A3127 ( Williams , Essex ) ) , Pioneer_P9402 ) ) )	-	-
U11-410122	LG04-6000	U03-300134	( LG04-6000 ( HS93-4118 ( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Dairyland_DSR304 ( Williams , - ) ) , LG97-9912 ( LG90-4181 ( PI_436682 , Lawrence ) , Asgrow_A3322 ) ) , U03-300134 ( NE32022 , NE2802 ) )	-	-
U11-444079	U03-300134	LD00-3309	( U03-300134 ( NE32022 , NE2802 ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) )	-	-
U11-602165R	U07-338254R	U07-135478R	( U07-338254R , U07-135478R )	-	-
U11-603167R	U07-338254R	U07-135478R	( U07-338254R , U07-135478R )	-	-
