Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
V00-1242	Hutcheson	Graham	( Hutcheson , Graham )	-	-
V00-1630	V92-0570	V88-494	( V92-0570 , V88-494 ( V79-881 ( Essex , Ransom ) , Toano ( Ware , Essex ) ) )	-	-
V00-1988	V90-1012	Clifford	( V90-1012 , Clifford )	-	-
V00-2275	KY88-4080	FFR_493	( KY88-4080 ( K1099 ( K1022 ( Williams , Columbus ) , Essex ) , Hutcheson ) , FFR_493 ( FFR_561 ( Essex , V68-920 ( York , Dare ) ) , Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ) ) )	-	-
V01-2245	V91-0223	V91-3036_	( V91-0223 ( Stafford , Hutcheson ) , V91-3036_ )	-	-
V03-3650	V92-0254	MD94-5341	( V92-0254 ( Hutcheson , V83-2298 ( Will , Essex ) ) , MD94-5341 ( Clifford , Corsica ) )	-	-
V03-3719	V92-0254	MD94-5341	( V92-0254 ( Hutcheson , V83-2298 ( Will , Essex ) ) , MD94-5341 ( Clifford , Corsica ) )	-	-
V03-4298	V92-0974	MD92-5769	( V92-0974 ( Hutcheson , FFR_561 ( Essex , V68-920 ( York , Dare ) ) ) , MD92-5769 )	-	-
V03-4660	V93-2329	Anand	( V93-2329 ( V84-1787 , V85-5344 ) , Anand )	-	-
V03-4661	V93-2329	Anand	( V93-2329 ( V84-1787 , V85-5344 ) , Anand )	-	-
V03-4705	V93-2329	Anand	( V93-2329 ( V84-1787 , V85-5344 ) , Anand )	-	-
V03-4726	V93-2329	Anand	( V93-2329 ( V84-1787 , V85-5344 ) , Anand )	-	-
V03-5306	KS4694	N94-546	( KS4694 ( Sherman , Toano ( Ware , Essex ) ) , N94-546 ( Cook , Clifford ) )	-	-
V03-7426	Stressland	LG93-77	( Stressland , LG93-77 )	-	-
V03-7740	Stressland	LG92-12	( Stressland , LG92-12 )	-	-
V03-7833	Stressland	LG92-12	( Stressland , LG92-12 )	-	-
V03-8283	Troll	Titan	( Troll ( Sprite_87 , HC80-1756 ( L73U-632 ( Miller_67 , L66L-140 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Elf ) ) , Titan ( E86067 ( A80-145015 , A79-135010 ( Pride_B216 ( Corsoy , Wayne ) , Cumberland ) ) , Kenwood ) )	-	-
V04-0807	Essex_MON_RR	V94-0189	( Essex_MON_RR , V94-0189 )	-	-
V04-1022	R95-798	V215	( R95-798 ( DPL_415 ( Essex , DPX_436 ( Pickett_71 , York ) ) , Asgrow_A9641 ) , V215 )	-	-
V04-5842	V94-0436	V93-2329	( V94-0436 ( DPL_415 ( Essex , DPX_436 ( Pickett_71 , York ) ) , C1747 ( A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) , Williams_82 ) ) , V93-2329 ( V84-1787 , V85-5344 ) )	-	-
V04-5959	V93-2329	V94-0189	( V93-2329 ( V84-1787 , V85-5344 ) , V94-0189 )	-	-
V05-2037	5002T	V99-3337	( 5002T , V99-3337 )	-	Pro
V05-2326	V95-0391	N96-7211	( V95-0391 ( V85-1729 , V84-1354W ) , N96-7211 ( Holladay , N91-8006 ) )	-	-
V05-2592	R95-2210	V94-0436	( R95-2210 , V94-0436 ( DPL_415 ( Essex , DPX_436 ( Pickett_71 , York ) ) , C1747 ( A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) , Williams_82 ) ) )	-	-
V05-2607	R95-2210	V94-0436	( R95-2210 , V94-0436 ( DPL_415 ( Essex , DPX_436 ( Pickett_71 , York ) ) , C1747 ( A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) , Williams_82 ) ) )	-	-
V05-2664	R95-2210	V96-0332	( R95-2210 , V96-0332 ( Hutcheson , Clifford ) )	-	-
V06-0168	V95-0391	V96-0340	( V95-0391 ( V85-1729 , V84-1354W ) , V96-0340 )	-	exotic
V06-0245	MD97-6065	V95-0016	( MD97-6065 ( Manokin , Holladay ) , V95-0016 ( KS5292 , Accomac ) )	-	-
V06-0283	V96-0340	V94-1401	( V96-0340 , V94-1401 ( V85-5344 , Corsica ) )	-	-
V06-0488	TN96-58	V94-1401	( TN96-58 , V94-1401 ( V85-5344 , Corsica ) )	-	-
V06-0855	S96-2641	V97-1549	( S96-2641 ( Pioneer_P9591 , S91-1839 ( Hartwig , Coker_485 ) ) , V97-1549 )	-	-
V06-10038	V95-0391	PI_227328	( V95-0391 ( V85-1729 , V84-1354W ) , PI_227328 )	-	Det.
