Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
W1	Dunfield	Illini	( Dunfield ( PI_36846 , - ) , Illini ( A.K. , - ) )	-	-
W10186	Salut_216	Amurskaja_41	( Salut_216 , Amurskaja_41 ( - , PI_524993 ) )	-	-
W10381-022	Pioneer_P9091	Asgrow_A2234	( Pioneer_P9091 , Asgrow_A2234 )	-	-
W214164	M060249	Syngenta_S20-26	( M060249 , Syngenta_S20-26 )	-	-
W2707-23	Y2011Z2	Epps	( Y2011Z2 ( 1190-02 ( Mack , Forrest ) , J74-45 ) , Epps )	-	-
W30047R012	Pioneer_P9161	Pioneer_P9111	( Pioneer_P9161 , Pioneer_P9111 )	-	-
W30271R014	Pioneer_P9241	Resnik	( Pioneer_P9241 ( 0624-32 , Pioneer_P2981 ) , Resnik )	-	-
W44-61O	Richland	Kabott	( Richland , Kabott )	-	-
W44-623	Richland	Kabott	( Richland , Kabott )	-	-
W44-631	Richland	Kabott	( Richland , Kabott )	-	-
W45-2175	Mandarin	L36-12	( Mandarin ( PI_36653 , - ) ( PI_36653 , - ) , L36-12 ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) )	-	-
W45-2260	Ontario	Richland	( Ontario , Richland )	-	-
W45-2307	Lincoln	Richland	( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Richland )	-	-
W45-3638	Lincoln	Richland	( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Richland )	-	-
W45S-4142	Kabbot	Goldsoy	( Kabbot , Goldsoy )	-	-
W45S-4143	Mukden	Pagoda	( Mukden ( PI_50523 , - ) , Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) )	-	-
W46S-246	Lincoln	Pagoda	( Lincoln ( Mandarin ( PI_36653 , - ) ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) )	-	-
W46S-326	Lincoln	Pagoda	( Lincoln ( Mandarin ( PI_36653 , - ) ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) )	-	-
W46S-338	Lincoln	Pagoda	( Lincoln ( Mandarin ( PI_36653 , - ) ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) )	-	-
W46S-339	Cayuga	Kabbot	( Cayuga ( PI_65393 , - ) , Kabbot )	-	-
W46S-341	Cayuga	Kabbot	( Cayuga ( PI_65393 , - ) , Kabbot )	-	-
W48-1028	Lincoln	Manchu_606	( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Manchu_606 )	-	-
