Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
X006	Syngenta_S19-90	MP91133	( Syngenta_S19-90 , MP91133 )	-	-
X022	Pioneer_P91608	Pioneer_P9273	( Pioneer_P91608 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) )	-	-
X029	Pioneer_P9362	Syngenta_S29-11	( Pioneer_P9362 , Syngenta_S29-11 )	-	-
X312R	X006	Syngenta_S24-K4	( X006 ( Syngenta_S19-90 , MP91133 ) , Syngenta_S24-K4 )	-	-
X3836	Williams	Mack	( Williams , Mack )	-	-
X4521	Williams	Columbus	( Williams , Columbus )	-	-
X5421	Essex	K1017	( Essex , K1017 ( L66L-140 ( Wayne , L57-0034 ( Clark , Adams ) ) , Columbus ) )	-	-
X5512	D74-7741	N73-693	( D74-7741 ( Forrest , D70-3001 ( D64-4636 ( Hill , D58-3311 ) , Pickett_71 ) ) , N73-693 ( D68-216 ( Dyer , Bragg ) , Ransom ) )	-	-
X5803	J74-35	D74-7741	( J74-35 , D74-7741 ( Forrest , D70-3001 ( D64-4636 ( Hill , D58-3311 ) , Pickett_71 ) ) )	-	-
X9054	Coker_156	Nathan	( Coker_156 ( Dare , D64-3937 ( Hill , D59-1619 ) ) , Nathan )	-	-
XB00448R003	Pioneer_P9071	MO30179	( Pioneer_P9071 , MO30179 )	-	-
XB01C03	Pioneer_P90B43	OT94-13	( Pioneer_P90B43 , OT94-13 )	-	-
XB02E02	Pioneer_P90B43	R00302	( Pioneer_P90B43 , R00302 ( XB22D ( Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ( Williams , Essex ) ) , 30388 ( Pioneer_P9303 , 30310 ( Pioneer_P9303 , 30294 ( Pioneer_P9303 , 30199 ( Pioneer_P9303 , 30124 ( Pioneer_P9303 , 30094 ( 5961 ( Asgrow_A3733 ( Elf , Asgrow_A3127 ( Williams , Essex ) ) ( Elf , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) , Resnik ) , Asgrow_A3733 ( Elf , Asgrow_A3127 ( Williams , Essex ) ) ( Elf , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) ) ) ) ) ) ) ) , 13007 ( Asgrow_A3304 , 90733 ( Pioneer_P9172 , 90676 ( ST2250 , G40-3P9392 ) ) ) ) )	-	-
XB02F04	Titan	D01306	( Titan ( E86067 ( A80-145015 , A79-135010 ( Pride_B216 ( Corsoy , Wayne ) , Cumberland ) ) , Kenwood ) , D01306 ( Pioneer_P9063 , Pioneer_P92B05 ) )	-	-
XB06B02	Pioneer_P90B43	12465	( Pioneer_P90B43 , 12465 ( Pioneer_P9132 , 90733 ( Pioneer_P9172 , 90676 ( ST2250 , G40-3P9392 ) ) ) )	-	-
XB06K06	12102R024	Pioneer_P91B33	( 12102R024 ( YB23E ( Archer , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , ST1570 ) , Pioneer_P91B33 )	-	-
XB06M07	Pioneer_P90B43	D00782	( Pioneer_P90B43 , D00782 ( RCAT_9404 , 90732-150 ( Pioneer_P9281 , 90675 ( Pioneer_P9281 , G40-3P9273 ) ) ) )	-	-
XB08P05	YB14D	K10005	( YB14D ( W30047R012 ( Pioneer_P9161 , Pioneer_P9111 ) , YB23E ( Archer , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ) , K10005 ( ST1970 , Pioneer_P92B05 ) )	-	-
XB12K05	Syngenta_S03-W4	D89003	( Syngenta_S03-W4 , D89003 ( ST0470 , Pioneer_P90B73 ) )	-	-
XB16H	Syngenta_S19-90	MO30732-51	( Syngenta_S19-90 , MO30732-51 )	-	-
XB17S05	ST1970	K10005	( ST1970 , K10005 ( ST1970 , Pioneer_P92B05 ) )	-	-
XB19M01	Pioneer_P9132	21721	( Pioneer_P9132 , 21721 ( Asgrow_A1900 , 21119 ( Pioneer_P9304 , 21070 ( Pioneer_P9412 , 90688C ( Asgrow_A4715 , G40-3P9392 ) ) ) ) )	-	-
XB19V06	YB18J00	Pioneer_P92B38	( YB18J00 ( Pioneer_P9362 , MO21584 ) , Pioneer_P92B38 )	-	-
XB20L00	W30271R014	Pioneer_P9234	( W30271R014 ( Pioneer_P9241 ( 0624-32 , Pioneer_P2981 ) , Resnik ) , Pioneer_P9234 )	-	-
XB21R05	YB22T00	Pioneer_P92B38	( YB22T00 ( Pioneer_P9362 , MO21584 ) , Pioneer_P92B38 )	-	-
XB22C04	Pioneer_P92B35	Pioneer_P92B05	( Pioneer_P92B35 , Pioneer_P92B05 )	-	-
XB22D	Pioneer_P9273	30388	( Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ( Williams , Essex ) ) , 30388 ( Pioneer_P9303 , 30310 ( Pioneer_P9303 , 30294 ( Pioneer_P9303 , 30199 ( Pioneer_P9303 , 30124 ( Pioneer_P9303 , 30094 ( 5961 ( Asgrow_A3733 ( Elf , Asgrow_A3127 ( Williams , Essex ) ) ( Elf , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) , Resnik ) , Asgrow_A3733 ( Elf , Asgrow_A3127 ( Williams , Essex ) ) ( Elf , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) ) ) ) ) ) ) )	-	-
XB22G06	Pioneer_P93B82	Pioneer_P91B53	( Pioneer_P93B82 , Pioneer_P91B53 )	-	-
XB23W03	Pioneer_P92B63	C04065	( Pioneer_P92B63 , C04065 ( Pioneer_P92B63 , XB36L ( Pioneer_P9362 , 90683 ( Pioneer_P9362 , G40-3P9392 ) ) ) )	-	-
XB23Y02	Pioneer_P92B52	Pioneer_P93B82	( Pioneer_P92B52 , Pioneer_P93B82 )	-	-
XB25E02	Pioneer_P9301	Pioneer_P93B82	( Pioneer_P9301 , Pioneer_P93B82 )	-	-
XB25P05	Pioneer_P92B86	CX235c	( Pioneer_P92B86 , CX235c )	-	-
XB25P99	Pioneer_P93B82	91013F2	( Pioneer_P93B82 , 91013F2 ( W30132-004 , 90753 ( ST2250 , 90682 ( Pioneer_P9342 , G40-3P9341 ) ) ) )	-	-
XB25S05	YB18J00	Pioneer_P92B84	( YB18J00 ( Pioneer_P9362 , MO21584 ) , Pioneer_P92B84 )	-	-
XB27B05	Pioneer_P93B86	Pioneer_P93B09	( Pioneer_P93B86 , Pioneer_P93B09 )	-	-
XB27P04	YB23M	Pioneer_P92B74	( YB23M ( Pioneer_P9362 , MO21584 ) , Pioneer_P92B74 )	-	-
XB29D01	ST2660	Pioneer_P93B82	( ST2660 , Pioneer_P93B82 )	-	-
XB29K04	45217N901	XB25P99	( 45217N901 ( S2911 , 21066 ( MO12557 , 90688A ( Asgrow_A4715 , G40-3P9392 ) ) ) , XB25P99 ( Pioneer_P93B82 , 91013F2 ( W30132-004 , 90753 ( ST2250 , 90682 ( Pioneer_P9342 , G40-3P9341 ) ) ) ) )	-	-
XB29V99	Pioneer_P93B82	91013F2	( Pioneer_P93B82 , 91013F2 ( W30132-004 , 90753 ( ST2250 , 90682 ( Pioneer_P9342 , G40-3P9341 ) ) ) )	-	-
