Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
Y186402	1190-19	Asgrow_A3127	( 1190-19 ( Mack , Forrest ) , Asgrow_A3127 ( Williams , Essex ) )	-	-
Y2011Z2	1190-02	J74-45	( 1190-02 ( Mack , Forrest ) , J74-45 )	-	-
Y277402	1100-07	1190-19	( 1100-07 ( Forrest , Tracy ) , 1190-19 ( Mack , Forrest ) )	-	-
Y4667-09	Pioneer_P4280	Fayette	( Pioneer_P4280 ( Williams , Woodworth ) , Fayette )	-	-
YB007D03	Pioneer_P90A07	R02322	( Pioneer_P90A07 , R02322 ( Pioneer_P90B43 , 12223R006 ( Pioneer_P9007 , 90733 ( Pioneer_P9172 , 90676 ( ST2250 , G40-3P9392 ) ) ) ) )	-	-
YB009A99	J009	W10381-022	( J009 , W10381-022 ( Pioneer_P9091 , Asgrow_A2234 ) )	-	-
YB01D05	Pioneer_P9008	XB16H	( Pioneer_P9008 , XB16H ( Syngenta_S19-90 , MO30732-51 ) )	-	-
YB07M04	Syngenta_S03-W4	D89003	( Syngenta_S03-W4 , D89003 ( ST0470 , Pioneer_P90B73 ) )	-	-
YB08K04	Pioneer_P9071	Pioneer_P91B52	( Pioneer_P9071 , Pioneer_P91B52 )	-	-
YB08N05	XB20L00	Pioneer_P91B33	( XB20L00 ( W30271R014 ( Pioneer_P9241 ( 0624-32 , Pioneer_P2981 ) , Resnik ) , Pioneer_P9234 ) , Pioneer_P91B33 )	-	-
YB09P05	Syngenta_S10-F2	Pioneer_P91B92	( Syngenta_S10-F2 ( Exp_91133 , Exp_C319428 ( McCall , S19-90 ) ) , Pioneer_P91B92 )	-	-
YB09Q05	Syngenta_S10-F2	XB25P99	( Syngenta_S10-F2 ( Exp_91133 , Exp_C319428 ( McCall , S19-90 ) ) , XB25P99 ( Pioneer_P93B82 , 91013F2 ( W30132-004 , 90753 ( ST2250 , 90682 ( Pioneer_P9342 , G40-3P9341 ) ) ) ) )	-	-
YB12M06	Pioneer_P91B53	R03210RE	( Pioneer_P91B53 , R03210RE ( 21030R017 ( ST1590 , ST2250 ) , R02416 ( Pioneer_P9091 , Pioneer_P91B02 ) ) )	-	-
YB14D	W30047R012	YB23E	( W30047R012 ( Pioneer_P9161 , Pioneer_P9111 ) , YB23E ( Archer , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) )	-	-
YB15K99	MO1718	Pioneer_P9204	( MO1718 , Pioneer_P9204 )	-	-
YB17K99	ST1590	ST2250	( ST1590 , ST2250 )	-	-
YB18H	Pioneer_P9172	90676	( Pioneer_P9172 , 90676 ( ST2250 , G40-3P9392 ) )	-	-
YB18J00	Pioneer_P9362	MO21584	( Pioneer_P9362 , MO21584 )	-	-
YB20G05	Pioneer_P9182	45233R043	( Pioneer_P9182 , 45233R043 ( Asgrow_A1900 , 21069 ( MO92117-18 , 90682E ( Pioneer_P9342 , G40-3P9341 ) ) ) )	-	-
YB20S02	CX173	90736-085	( CX173 , 90736-085 ( Pioneer_P9244 , 90676 ( ST2250 , G40-3P9392 ) ) )	-	-
YB21D06	YB22S00	Pioneer_P92B13	( YB22S00 ( CX232 , ST1570 ) , Pioneer_P92B13 )	-	-
YB21F01	Pioneer_P9182	Pioneer_P9254	( Pioneer_P9182 , Pioneer_P9254 )	-	-
YB21G01	XB22D	Pioneer_P92B52	( XB22D ( Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ( Williams , Essex ) ) , 30388 ( Pioneer_P9303 , 30310 ( Pioneer_P9303 , 30294 ( Pioneer_P9303 , 30199 ( Pioneer_P9303 , 30124 ( Pioneer_P9303 , 30094 ( 5961 ( Asgrow_A3733 ( Elf , Asgrow_A3127 ( Williams , Essex ) ) ( Elf , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) , Resnik ) , Asgrow_A3733 ( Elf , Asgrow_A3127 ( Williams , Essex ) ) ( Elf , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) ) ) ) ) ) ) ) , Pioneer_P92B52 )	-	-
YB22N	MO01718	Pioneer_P9171	( MO01718 ( MO50321 ( MO01010 ( Harcor , CM183 ) ( Harcor , CM183 ) , A8 ) , MO50226 ( ST3010 , MO01010 ( Harcor , CM183 ) ) ) , Pioneer_P9171 ( Pioneer_P9271 , Asgrow_A3127 ( Williams , Essex ) ) )	-	-
YB22R06	Pioneer_P92B12	Pioneer_P92B38	( Pioneer_P92B12 , Pioneer_P92B38 )	-	-
YB22S00	CX232	ST1570	( CX232 , ST1570 )	-	-
YB22T00	Pioneer_P9362	MO21584	( Pioneer_P9362 , MO21584 )	-	-
YB23E	Archer	Pioneer_P9273	( Archer , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) )	-	-
YB23M	Pioneer_P9362	MO21584	( Pioneer_P9362 , MO21584 )	-	-
YB24X06	Ina	K10467	( Ina ( Jack , Hartwig ) , K10467 ( XB16H ( Syngenta_S19-90 , MO30732-51 ) ( Syngenta_S19-90 , MO30732-51 ) ( Syngenta_S19-90 , MO30732-51 ) , K10292 ( XB16H ( Syngenta_S19-90 , MO30732-51 ) ( Syngenta_S19-90 , MO30732-51 ) , K10147 ( XB16H ( Syngenta_S19-90 , MO30732-51 ) , Pioneer_P91B52 ) ) ) )	-	-
YB26V01	Pioneer_P9281	XB31Q	( Pioneer_P9281 , XB31Q ( ST2660 , 21710 ( Asgrow_A3237 , 21097 ( Asgrow_A3237 , 21063 ( Asgrow_A3237 , 90683C ( Pioneer_P9362 , G40-3P9392 ) ) ) ) ) )	-	-
YB26Y06	XB23W03	Pioneer_P92M91	( XB23W03 ( Pioneer_P92B63 , C04065 ( Pioneer_P92B63 , XB36L ( Pioneer_P9362 , 90683 ( Pioneer_P9362 , G40-3P9392 ) ) ) ) , Pioneer_P92M91 )	-	-
YB27F	Pioneer_P9281	90675	( Pioneer_P9281 , 90675 ( Pioneer_P9281 , G40-3P9273 ) )	-	-
YB27Z06	Pioneer_P93B66	YB22T00	( Pioneer_P93B66 , YB22T00 ( Pioneer_P9362 , MO21584 ) )	-	-
YB28C99	Pioneer_P9322	21052	( Pioneer_P9322 , 21052 ( ST2250 , 90676A ( ST2250 , G40-3P9392 ) ) )	-	-
YB28E09	XB23W03	Pioneer_P92M91	( XB23W03 ( Pioneer_P92B63 , C04065 ( Pioneer_P92B63 , XB36L ( Pioneer_P9362 , 90683 ( Pioneer_P9362 , G40-3P9392 ) ) ) ) , Pioneer_P92M91 )	-	-
YB29S	ST2250	21028	( ST2250 , 21028 ( Pioneer_P9392 ( Asgrow_A3127 ( Williams , Essex ) , Gnome ) , Pioneer_P9321 ) )	-	-
YB30A05	ST2870	ST3380	( ST2870 , ST3380 )	-	-
