gene_symbol	gene_symbol_long	identifier
1-3-1A	syringolide-induced protein 1-3-1A	glyma.Wm82.gnm2.ann1.Glyma.10g277800
1-3-1B	syringolide-induced protein 1-3-1B	glyma.Wm82.gnm2.ann1.Glyma.20g111800
13-1-1	syringolide-induced protein 13-1-1	glyma.Wm82.gnm2.ann1.Glyma.18g042100
14-1-1	syringolide-induced protein 14-1-1	glyma.Wm82.gnm2.ann1.Glyma.04g020700
19-1-5	syringolide-induced protein 19-1-5	glyma.Wm82.gnm2.ann1.Glyma.17g065000
2A6		glyma.Wm82.gnm1.ann1.Glyma02g09290
4CL	4-coumarate--CoA ligase-like 7-like	glyma.Wm82.gnm2.ann1.Glyma.13g323000
4CL1	4-coumarate:coenzyme A ligase gene 1	glyma.Wm82.gnm2.ann1.Glyma.17g064600
4CL2	4-coumarate:coenzyme A ligase gene 2	glyma.Wm82.gnm2.ann1.Glyma.13g372000
4CL3	4-coumarate:coenzyme A ligase gene 3	glyma.Wm82.gnm2.ann1.Glyma.11g010500
4CL4	4-coumarate:coenzyme A ligase gene 4	glyma.Wm82.gnm2.ann1.Glyma.01g232400
A1	albumin 1	glyma.Wm82.gnm2.ann1.Glyma.13g194400
AAH	allantoate amidohydrolase	glyma.Wm82.gnm2.ann1.Glyma.15g156900
AAH2	allantoate deiminase 2	glyma.Wm82.gnm2.ann1.Glyma.09g050800
AAT	aspartate aminotransferase glyoxysomal isozyme AAT1 precursor	glyma.Wm82.gnm2.ann1.Glyma.06g082400
ABA3	molybdenum cofactor sulfurtransferase 3	glyma.Wm82.gnm2.ann1.Glyma.09G002300
ABCC8	ABC Transporter C8	glyma.Wm82.gnm2.ann1.Glyma.07G011600
ABF1	ABF1 bZIP transcription factor	glyma.Wm82.gnm2.ann1.Glyma.02G131700
ABF2	ABF2 bZIP transcription factor	glyma.Wm82.gnm2.ann1.Glyma.04G039300
ABI5	protein ABSCISIC ACID-INSENSITIVE 5	glyma.Wm82.gnm2.ann1.Glyma.10g071700
ACCA-1	alpha-carboxyltransferase aCT-1 precursor	glyma.Wm82.gnm2.ann1.Glyma.18g195700
ACCA-2	alfa-carboxyltransferase precursor	glyma.Wm82.gnm2.ann1.Glyma.18g195900
ACCA-3	carboxyl transferase alpha subunit	glyma.Wm82.gnm2.ann1.Glyma.18g196000
ACCase	acetyl-CoA carboxylase	glyma.Wm82.gnm2.ann1.Glyma.05g221100
ACCB-1	biotin carboxyl carrier protein precursor	glyma.Wm82.gnm2.ann1.Glyma.18g243500
ACCB-2	biotin carboxyl carrier protein subunit	glyma.Wm82.gnm2.ann1.Glyma.18g265300
ACCC-3	biotin carboxylase precursor	glyma.Wm82.gnm2.ann1.Glyma.08g027600
ACP1	acid phosphatase 1	glyma.Wm82.gnm2.ann1.Glyma.08g195100
ACPD	stearoyl-acyl carrier protein desaturase	glyma.Wm82.gnm2.ann1.Glyma.02g138100
ACPD-1	stearoyl-acyl carrier protein desaturase gene 1	glyma.Wm82.gnm2.ann1.Glyma.02g138100
ACPD-2	stearoyl-acyl carrier protein desaturase gene 2	glyma.Wm82.gnm2.ann1.Glyma.07g207200
ACPD-3	stearoyl-acyl carrier protein desaturase gene 3	glyma.Wm82.gnm2.ann1.Glyma.14g121400
ACS10a	ACC Synthase 10 gene a	glyma.Wm82.gnm2.ann1.Glyma.01G213700
ACS10b	ACC Synthase 10 gene b	glyma.Wm82.gnm2.ann1.Glyma.11G028200
ACSL2	long-chain acyl-CoA synthetase ACSL2	glyma.Wm82.gnm2.ann1.Glyma.05g151200
ACT2/7	BAHD acyltransferase 2/7	glyma.Wm82.gnm2.ann1.Glyma.19G147900
ACTIN	actin-6	glyma.Wm82.gnm2.ann1.Glyma.18g290800
Actin11	Actin 11	glyma.Wm82.gnm1.ann1.Glyma02g10170
ACX1;1	acyl-CoA oxidase	glyma.Wm82.gnm2.ann1.Glyma.11g035200
ACX1;2	acyl-CoA oxidase	glyma.Wm82.gnm2.ann1.Glyma.05g062200
ADC	arginine decarboxylase	glyma.Wm82.gnm2.ann1.Glyma.06g007500
ADF1	actin depolymerizing factor 1	glyma.Wm82.gnm2.ann1.Glyma.15g125300
ADO3	Adagio 3 like gene	glyma.Wm82.gnm2.ann1.Glyma.08g046500
ADR11	AAI_LTSS superfamily protein	glyma.Wm82.gnm2.ann1.Glyma.17g111100
ADT2 	AROGENATE DEHYDRATASE 2	glyma.Wm82.gnm1.ann1.Glyma12g07720
AFB2	AUXIN SIGNALING F-BOX 2	glyma.Wm82.gnm2.ann1.Glyma.19G100200
AFB3A	auxin signaling F-box 3 protein	glyma.Wm82.gnm2.ann1.Glyma.19g100200
AFB3B	auxin signaling F-box 3 protein	glyma.Wm82.gnm2.ann1.Glyma.16g050500
AG1	arginase	glyma.Wm82.gnm2.ann1.Glyma.03g0280001
AGL1	agamous-like MADS-box protein AGL1	glyma.Wm82.gnm2.ann1.Glyma.14g027200
AGL11	MADS domain transporter AGL11	glyma.Wm82.gnm2.ann1.Glyma.06g324400
AGL15	AGL15 protein	glyma.Wm82.gnm2.ann1.Glyma.u018000
AGL1L	agamous-like MADS-box protein AGL1-like	glyma.Wm82.gnm2.ann1.Glyma.08g310100
AGL20	Agamous-Like 20	glyma.Wm82.gnm2.ann1.Glyma.07G080900
AGL3L	agamous-like MADS-box protein AGL3-like	glyma.Wm82.gnm2.ann1.Glyma.08g105400
AGL8a	Agamous 8-Like gene a	glyma.Wm82.gnm2.ann1.Glyma.17G081200
AGL8b	Agamous 8-Like gene b	glyma.Wm82.gnm2.ann1.Glyma.06G205800
AGL8c	Agamous 8-Like gene c	glyma.Wm82.gnm2.ann1.Glyma.13G052100
AGL8d	Agamous 8-Like gene d	glyma.Wm82.gnm2.ann1.Glyma.19G034600
AGO2	Argonaut 2 ranscription factor	glyma.Wm82.gnm2.ann1.Glyma.20G022900
AGO4	Argonaut 4 ranscription factor	glyma.Wm82.gnm2.ann1.Glyma.02G274900
AHAS1	acetohydroxyacid synthase 1 gene	glyma.Wm82.gnm2.ann1.Glyma.04g196100
AHAS2	acetohydroxyacid synthase 2 gene	glyma.Wm82.gnm2.ann1.Glyma.06g169700
AHAS3	Acetohydroxy acid synthase  gene 3	glyma.Wm82.gnm2.ann1.Glyma.13g241000
AHAS4	acetohydroxyacid synthase  gene 4	glyma.Wm82.gnm2.ann1.Glyma.15g072500
AIR12	plasma membrane ascorbate-reducible b-type cytochrome family protein	glyma.Wm82.gnm2.ann1.Glyma.03g088900
AK-HSDH	aspartokinase-homoserine dehydrogenase	glyma.Wm82.gnm2.ann1.Glyma.08g107800
